Output Folder,Use File,X0,Y0,X1,Y1,X2,Y2
output0,use0,828.0,635.0,918.0,512.0,612.0,1025.0
output0,use1,625.0,676.0,738.0,597.0,597.0,1046.0
output0,use2,518.0,740.0,440.0,779.0,565.0,1046.0
output0,use3,488.0,821.0,390.0,884.0,527.0,1035.0
output0,use4,488.0,880.0,471.0,908.0,508.0,1015.0
output0,use5,449.0,817.0,312.0,890.0,543.0,1048.0
output0,use6,558.0,689.0,660.0,582.0,591.0,1004.0
output1,use0,814.0,633.0,883.0,512.0,612.0,1025.0
output1,use1,590.0,658.0,713.0,570.0,597.0,1046.0
output1,use2,485.0,741.0,389.0,757.0,565.0,1046.0
output1,use3,485.03539471,845.52647807,367.27902449,927.23497985,525.8896456,1042.58815884
output1,use4,502.0,874.0,476.0,922.0,508.0,1015.0
output1,use5,478.0,808.0,355.0,877.0,543.0,1048.0
output1,use6,612.0,667.0,720.0,560.0,591.0,1004.0
output2,use0,739.52941176,628.70588235,929.64705882,464.94117647,581.41176471,1033.41176471
output2,use1,581.0,679.0,702.0,571.0,597.0,1046.0
output2,use2,506.0,742.0,428.0,780.0,565.0,1046.0
output2,use3,479.0,854.0,407.0,907.0,527.0,1035.0
output2,use4,481.0,895.0,491.0,947.0,508.0,1015.0
output2,use5,438.35294118,854.58823529,272.70588235,958.11764706,540.0,1052.23529412
output2,use6,576.95845825,704.34471115,661.1846621,599.57553075,576.95845825,1018.65225234
output3,use0,761.77540107,595.50802139,940.42780749,439.44385027,579.01604278,1026.73796791
output3,use1,671.42245989,626.31016043,868.55614973,519.52941176,576.96256684,1045.21925134
output3,use2,494.0,699.0,462.0,701.0,565.0,1046.0
output3,use3,455.80748663,835.76470588,324.38502674,944.59893048,503.03743316,1039.05882353
output3,use4,478.39572193,878.88770053,431.1657754,965.13368984,492.77005348,1030.84491979
output3,use5,462.0,853.0,322.0,955.0,543.0,1048.0
output3,use6,574.61156302,705.9739673,677.90337841,555.16791683,568.4140541,1028.2444313
output4,use0,778.20320856,589.34759358,928.10695187,447.65775401,595.44385027,997.98930481
output4,use1,640.62032086,653.00534759,829.54010695,529.79679144,583.12299465,1032.89839572
output4,use2,511.2513369,714.60962567,435.27272727,720.77005348,558.48128342,1039.05882353
output4,use3,476.0,846.0,357.0,921.0,527.0,1035.0
output4,use4,478.39572193,862.45989305,404.47058824,954.86631016,509.19786096,1032.89839572
output4,use5,464.0,830.0,345.0,898.0,543.0,1048.0
output4,use6,609.81818182,687.9144385,720.70588235,505.15508021,576.96256684,1020.57754011
output5,use0,780.25668449,597.56149733,936.32085561,443.55080214,595.44385027,1014.4171123
output5,use1,644.72727273,650.95187166,811.05882353,503.10160428,585.17647059,1020.57754011
