Sequence,TimeStep,Feature_0_0,Feature_0_1,Feature_1_0,Feature_1_1,Feature_2_0,Feature_2_1
0,0,-70.0,166.0,-66.0,194.0,272.0,381.0
0,1,-114.0,157.0,-182.0,185.0,-75.0,407.0
0,2,-130.0,154.0,-242.0,175.0,-82.0,406.0
0,3,-67.0,176.0,-106.0,251.0,-27.0,326.0
0,4,-33.0,100.0,82.0,17.0,131.0,420.0
0,5,5.0,101.0,82.0,-12.0,103.0,459.0
0,6,-136.0,104.0,-53.0,58.0,130.0,430.0
1,0,-20.0,155.0,-49.0,210.0,-18.0,343.0
1,1,-134.0,144.0,-204.0,140.0,-102.0,445.0
1,2,-93.0,176.0,-227.0,238.0,-72.0,399.0
1,3,-43.0,164.0,-114.0,236.0,-52.0,354.0
1,4,-149.0,147.0,-134.0,94.0,178.0,462.0
1,5,-83.0,46.0,30.0,-36.0,156.0,502.0
1,6,-157.0,99.0,-37.0,8.0,-151.0,467.0
2,0,-117.0,137.0,-148.0,179.0,-56.0,306.0
2,1,-135.0,130.0,-221.0,158.0,-22.0,416.0
2,2,-154.0,139.0,-292.0,221.0,-40.0,403.0
2,3,-103.0,132.0,-198.0,183.0,-13.0,331.0
2,4,-139.0,92.0,-57.0,103.0,226.0,441.0
2,5,9.0,103.0,85.0,-17.0,224.0,477.0
2,6,-139.0,110.0,-53.0,53.0,233.0,483.0
3,0,-44.0,157.0,-91.0,211.0,-9.0,309.0
3,1,-162.0,138.0,-178.0,121.0,-78.0,461.0
3,2,-129.0,186.0,-260.0,235.0,-58.0,410.0
3,3,-65.0,167.0,-186.0,233.0,-3.0,344.0
3,4,-126.0,57.0,4.0,-42.0,-144.0,446.0
3,5,55.0,37.0,148.0,-71.0,123.0,501.0
3,6,-121.0,77.0,-14.0,10.0,-170.0,492.0
4,0,-49.0,173.0,-15.0,178.0,-4.0,327.0
4,1,-148.0,132.0,-155.0,170.0,-95.0,423.0
4,2,-99.0,165.0,-231.0,263.0,-51.0,387.0
4,3,-66.0,163.0,-144.0,235.0,-42.0,332.0
4,4,-158.0,135.0,-140.0,34.0,194.0,443.0
4,5,0.0,77.0,81.0,-18.0,136.0,507.0
4,6,-157.0,106.0,-51.0,49.0,141.0,483.0
5,0,-34.0,152.0,-85.0,210.0,7.0,306.0
5,1,-112.0,163.0,-197.0,197.0,-77.0,416.0
5,2,-110.0,179.0,-222.0,238.0,-42.0,411.0
5,3,-58.0,161.0,-137.0,219.0,-34.0,313.0
5,4,-134.0,95.0,-78.0,16.0,159.0,456.0
5,5,-34.0,81.0,38.0,-9.0,-166.0,474.0
5,6,-146.0,125.0,-48.0,52.0,-152.0,467.0
6,0,52.0,-36.0,124.0,83.0,283.0,383.0
6,1,-138.0,135.0,-151.0,150.0,-38.0,458.0
6,2,-104.0,177.0,-217.0,260.0,-25.0,401.0
6,3,-81.0,37.0,-55.0,177.0,-33.0,356.0
6,4,-138.0,142.0,-139.0,241.0,134.0,425.0
6,5,31.0,68.0,104.0,-62.0,-121.0,497.0
6,6,-106.0,128.0,5.0,41.0,-118.0,468.0
7,0,-78.0,40.0,-55.0,158.0,-13.0,305.0
7,1,-153.0,135.0,-253.0,178.0,-118.0,433.0
7,2,-135.0,172.0,-262.0,238.0,-91.0,421.0
7,3,-74.0,153.0,-126.0,209.0,-30.0,333.0
7,4,57.0,61.0,137.0,-67.0,139.0,462.0
7,5,35.0,74.0,137.0,-66.0,120.0,492.0
7,6,-167.0,80.0,-51.0,-3.0,114.0,489.0
8,0,-36.0,149.0,-94.0,210.0,54.0,322.0
8,1,-115.0,128.0,-134.0,158.0,-32.0,427.0
8,2,-120.0,154.0,-225.0,219.0,20.0,396.0
8,3,-70.0,170.0,-180.0,223.0,15.0,342.0
8,4,-131.0,135.0,-81.0,205.0,272.0,455.0
8,5,26.0,83.0,110.0,-29.0,243.0,491.0
8,6,-94.0,121.0,5.0,48.0,229.0,483.0
9,0,-45.0,169.0,-35.0,221.0,-18.0,289.0
9,1,-157.0,144.0,-235.0,182.0,-98.0,448.0
9,2,-130.0,162.0,-269.0,260.0,-39.0,357.0
9,3,-68.0,163.0,-140.0,216.0,-20.0,344.0
9,4,-150.0,125.0,-94.0,33.0,-118.0,413.0
9,5,46.0,97.0,108.0,-51.0,-172.0,473.0
9,6,-181.0,117.0,-60.0,9.0,-165.0,484.0
10,0,-61.0,138.0,-131.0,188.0,276.0,377.0
10,1,-165.0,104.0,-206.0,118.0,-33.0,434.0
10,2,-119.0,163.0,-222.0,191.0,-83.0,404.0
10,3,-89.0,161.0,-183.0,218.0,-28.0,348.0
10,4,18.0,84.0,68.0,14.0,78.0,412.0
10,5,17.0,81.0,130.0,-12.0,77.0,440.0
10,6,-153.0,87.0,-30.0,30.0,-166.0,438.0
11,0,-16.0,154.0,39.0,161.0,19.0,292.0
11,1,-104.0,165.0,-179.0,200.0,-67.0,416.0
11,2,-92.0,190.0,-235.0,284.0,-3.0,384.0
11,3,-45.0,164.0,-124.0,228.0,-16.0,341.0
11,4,-106.0,121.0,-42.0,173.0,214.0,420.0
11,5,-5.0,89.0,87.0,-17.0,118.0,467.0
11,6,-162.0,140.0,-77.0,92.0,162.0,494.0
12,0,-63.0,137.0,-113.0,189.0,35.0,346.0
12,1,-116.0,133.0,-173.0,172.0,-11.0,425.0
12,2,-163.0,154.0,-288.0,219.0,-10.0,409.0
12,3,-75.0,151.0,-178.0,212.0,11.0,341.0
12,4,-107.0,110.0,-27.0,211.0,237.0,445.0
